# メタ情報
項目,値
学類ID,mast
学類名,情報メディア創成学類
学群,情報学群
卒業必要単位数,124
年間履修上限,45
CAP開放時上限,55
進級条件(3→4年),100単位

# グループ小計
グループ名,必要最低単位,上限単位
専門科目,34,49
専門基礎科目,56,71
基礎科目（共通）,13,22
基礎科目（関連）,6,15

# 卒業要件カテゴリ
グループ名,カテゴリ名,種別(required/elective/free),必要最低単位,上限単位,科目番号リスト,プレフィックス,備考
"専門科目","専門科目（必修）",required,14,,"","","卒業研究A(3)/卒業研究B(3)/情報メディア実験A(3)/情報メディア実験B(3)/専門英語A(1)/専門英語B(1)。科目番号は要追加"
"専門科目","専門科目（選択）",elective,20,35,"","GC5/GA4",""
"専門基礎科目","専門基礎科目（必修）",required,25,,"GA15331/GA15231/GA18222/GA18322","","微分積分A(2)/微分積分B(2)/線形代数A(2)/線形代数B(2)/情報数学A(2)/確率と統計(2)/プログラミング入門A(2)/プログラミング入門B(1)/コンピュータリテラシー(1)/プログラミング(2)/コンピューターシステムとOS(2)/データ構造とアルゴリズム(2)/データ構造とアルゴリズム実習(1)/データ工学概論(2)。一部科目番号は未登録"
"専門基礎科目","専門基礎科目（選択）",elective,31,46,"","GC2/GA1","専門基礎科目・必修科目で指定した科目を除く"
"基礎科目（共通）","総合科目（必修）",required,2,,"","","ファーストイヤーセミナー/学問への誘いを含む"
"基礎科目（共通）","情報",required,4,,"","","情報リテラシー等。科目番号は要追加"
"基礎科目（共通）","体育（必修）",required,2,,"","","科目番号は要追加"
"基礎科目（共通）","外国語（英語・必修）",required,4,,"","","科目番号は要追加"
"基礎科目（共通）","総合科目（学士基盤科目）",elective,1,4,"","","学士基盤科目"
"基礎科目（共通）","体育（選択）",elective,0,2,"","",""
"基礎科目（共通）","外国語（選択）",elective,0,6,"","",""
"基礎科目（共通）","国語",elective,0,2,"","",""
"基礎科目（共通）","芸術",elective,0,6,"","",""
"基礎科目（関連）","他学群又は他学類の授業科目",elective,6,15,"","","GA/GB/GC/GE/共通科目/教職に関する科目以外"
"基礎科目（関連）","GB/GE科目",elective,0,9,"","GB/GE",""
"基礎科目（関連）","博物館に関する科目・自由科目(特設)",elective,0,9,"","",""
